# IND_NAIS_2018 -- NITI Aayog National Strategy for Artificial Intelligence (2018). Codebook v2.0.1 first pass.
# Document class C: a discussion paper. Its own text states that "specifics (e.g. execution and
# financial implications) have been consciously avoided", so most units carry binding_status "proposed".
# unit_seq|T1,T2,T3,T4,T5,T6|binding_status|confidence|flag|flag_reason|justification
131|0,1,0,0,1,1|proposed|High||None|"France is trying to streamline its innovation track with 'innovation sandboxes' which would provide an open platform for innovation and offer resources for use in field-testing" -- a foreign regulatory sandbox described but not adopted by India, so Theme 2 registers only at the level of a mechanism referenced without commitment (T2=1). "China is focused on developing open source innovation platforms in partnership with private players like Baidu, Alibaba, and Tencent", with funding "for 5G networks... and deployment of supercomputers" (T5=1). The comparative survey is competitiveness framing (T6=1).
132|0,0,0,0,1,1|proposed|High||None|"Japan has convened a 'national consultative body' with 3 universities and the Japan business foundation to develop education programs for reskilling", and "China has launched a five-year university program to train at least 500 teachers and 5,000 students", with a plan for "50 world-class teaching institutes... 50 national level high quality online open courses and 50 AI faculties by 2020 as part of the 'AI+X' program" (T5=1: foreign skills programmes described, none adopted). The benchmarking purpose is competitiveness framing (T6=1).
133|0,0,0,0,1,1|proposed|High||None|A comparison of research capacity at leading foreign universities: faculty and student counts, an undergraduate AI degree, IBM's Watson developed "in research collaboration with CMU", the MIT Intelligence initiative, and the AI4ALL programme "to increase diversity in the field of AI research" (T5=1: foreign institutional capacity described). The unit is a benchmarking table rendered as prose (T6=1).
134|0,0,0,0,1,1|proposed|High||None|"Alibaba's Aliyun is working with the National Engineering laboratory on big data systems and software at the Tsinghua University", while in Japan "Riken Centre for Advanced Intelligence Project and Advanced Industrial Science and Technology are the nodal research institutes for industry collaboration" (T5=1: foreign research-industry arrangements described, none adopted here). The account of how other countries organise industry-academia collaboration is comparative framing (T6=1).
135|0,1,0,0,1,1|proposed|High||None|"Most of the governments have established / utilised existing centralised umbrella body for budgetary planning of AI interventions and for formulating strategy and drafting policies", naming "the National Science and Technology Council in the USA, Strategic Council for AI technologies in Japan, AI council in the U.K." and noting that "the UAE has a Minister of State for AI" (T5=1). The pattern described is centralisation of AI policy authority in a single executive body -- a Theme 2 mechanism, but observed in other countries and not adopted here (T2=1). Comparative governance benchmarking (T6=1).
136|0,0,0,0,1,1|proposed|High||None|Foreign funding commitments catalogued: the UK's "GBP725 million industrial strategy challenge fund", "GBP1.7 billion for transforming cities fund", a "GBP2.5 billion investment fund at the British Business Bank" and "reforming rules for pension funds to mandate inclusion of AI in their investment portfolio", plus Japan's plan "to increase its science and innovation budget by JPY900 billion by 2020" (T5=1: other states' instruments described, including a mandatory portfolio rule that India does not adopt). Comparative benchmarking (T6=1).
137|0,0,0,0,1,0|proposed|Moderate||None|An investment table rendered as prose: AI investment by tech giants and other corporations in 2016 split across M&A, internal corporate investment, private equity and venture capital, with compound annual growth rates (T5=1: market data with no policy content). Confidence is Moderate because the unit is a table whose column structure does not survive extraction cleanly, which limits how much can be read from it.
138|0,0,0,0,1,1|proposed|Moderate||None|A product inventory of the technology giants: virtual assistants (Google Now, Alexa, DuerOS), AlphaGo, self-driving cars, Rekognition image analysis, Tmall Genie, and a "smart city AI platform developed for Kuala Lumpur" (T5=1: market description). The Kuala Lumpur deployment records a Chinese smart-city platform exported to another jurisdiction, which is cross-border technology diffusion described rather than any Indian mechanism (T6=1). Confidence is Moderate because the unit is a badly-extracted comparison table.
139|0,0,0,1,1,1|proposed|High||None|"China has formed a 'national team' with large private players including Baidu and Tencent to undertake fundamental and applied research", with "Baidu... working with the Chinese government to develop brain-inspired intelligent technology" (T5=1, T6=1: a foreign state-industry arrangement described). "EU has released a comprehensive legal framework for data protection called General Data Protection Regulation (GDPR). This framework details the rights of individuals (consent, data portability, etc.), obl[igations]" describes a foreign enacted instrument with some of its content, but India adopts nothing here, so Theme 4 registers only as a reference (T4=1).
140|0,0,0,0,1,1|proposed|High||None|"Governments are setting themselves up for success with support from the private sector and academia. However, the models of engagement vary depending on starting points, challenges and appetite for public funding and regulation", closing with the warning that countries that "decide to wait for a few years" will not "match up to the current momentum" (T5=1: a comparative conclusion with no instrument). The urgency argument is competitiveness framing (T6=1); this text repeats material from the main body.
141|0,0,0,0,1,1|proposed|Moderate||None|A country funding table: Belgium's FWO and FNRS agencies with "approximately EUR1.8 million per year" and "approximately EUR6.7 million per year" respectively and their AI application success rates, and China's governments "giving USD800,000 to USD1 million in subsidies to A[I startups]" (T5=1: foreign funding instruments catalogued, none adopted). Comparative benchmarking (T6=1). Confidence is Moderate because the unit is a table rendered as prose.
142|0,0,0,0,1,1|proposed|Moderate||None|Continued funding table: "the Irish government spends, through the Irish Economic Development Agency (IDA), Enterprise Ireland, and Science Foundation Ireland, over EUR700 million on R&D annually", and "the Israeli government has several grant funding schemes for promoting collaboration and knowledge transfer between academia and industry, such as Magnet and Magneton" (T5=1: foreign instruments catalogued). Comparative benchmarking (T6=1). Confidence is Moderate for the same table-extraction reason.
143|0,0,0,0,1,1|proposed|Moderate||None|Further funding entries: UK research programmes on machine learning and "Natural Artificial Intelligence", Spain's "EUR170 million... invested in the Industry 4.0 project Industria Conectada 4.0 under the National R&D and Innovation Plan", and Sweden's "Research Institutes of Sweden... setting up an AI centre (RISE AI)" (T5=1: foreign instruments catalogued, none adopted). Comparative benchmarking (T6=1). Confidence is Moderate because the unit is table content.
144|0,0,0,0,1,0|proposed|High||None|Appendix III opens by locating the binding constraint: "the leading algorithms are available as software packages either commercially or open source", storage and compute "has become commoditised", and "the challenge still remains with data - access to high quality, reliable data along with appropriate mark-ups still remains a challenge" (T5=1: a factor-of-production analysis with no instrument proposed in this unit). No other theme is engaged.
145|0,0,0,0,1,0|proposed|High||None|A case study of ImageNet: "a large visual database designed for use in visual object recognition software research", where "over 14 million URLs of images have been hand annotated by ImageNet to indicate what objects are pictured" (T5=1: an illustrative precedent for the foundational-dataset recommendation, with no Indian commitment in this unit). The database annotates objects in images rather than identifying persons.
146|2,0,0,2,2,0|proposed|Moderate|YES|Polysemic Uncertainty|"Corporates based in India may be mandated to share their data for social good. For example, sharing transportation pattern of individuals / mass transits, collected by service providers and aggregators, can help the city planners help in planning routes, predicting and managing traffic." A compulsory transfer of individual movement traces from private aggregators to the state engages Theme 1 directly: the Theme 1 boundary clarification holds that movement analytics remains Theme 1 even under an urban-planning framing (T1=2). The same proposal is a data-sharing mandate on a class of firms, but the instrument is unspecified -- "may be mandated" with no vehicle, threshold or penalty -- so two of the three Score-3 conditions are met and Theme 5 is capped at 2 and flagged. "Upon proper and informed consent from the citizens, these anonymised data may be shared" proposes consent and anonymisation as the safeguard (T4=2). Confidence is Moderate because the mandate is raised as a possibility rather than designed.
147|0,0,0,0,1,0|proposed|Moderate||None|An inventory table of public benchmark datasets -- MNIST, CIFAR, ImageNet, Labeled Faces in the Wild, TREC, WikiText and others -- with sizes, publishers and countries of origin (T5=1: a research-infrastructure inventory supporting the foundational-dataset argument). "Labeled Faces In The Wild" is listed as an academic benchmark corpus, not as a deployed identification system, so Theme 1 is not engaged. Confidence is Moderate because the unit is table content.
148|0,0,0,0,2,1|proposed|High||None|The dataset inventory closes with a directional conclusion: "it is clearly evident that universities and research laboratories in the USA in particular, have been the leaders in sharing these datasets, which has contributed significantly in developing a strong AI research base in the USA. The Government of India can also play a crucial role, working with the various academic institutions, in making annotated India specific data available for advancing AI research" -- a defined state role in building national research data assets (T5=2). The comparison with US dataset leadership is competitiveness framing (T6=1).
149|0,0,0,0,1,1|proposed|High||None|Appendix IV argues that "sectors that are most pursued by VCs could be a good proxy for sectors to be focused on", citing that "AI remains the most active industry vertical in VC funding landscape, with an aggregate total investment of more than USD31 billion globally across more than 3,600 disclosed deals in past 5 years" (T5=1: an investment-based method for sector selection, with no instrument). The global funding landscape is comparative context (T6=1).
150|0,0,0,0,1,0|proposed|Moderate||None|A description of one company's healthcare AI portfolio: Google's focus on "eye diseases (diabetic retinopathy), diabetes (detection and management), heart disease... Parkinson's disease and multiple sclerosis", noting that its "AI algorithm for diabetic retinopathy, trained on 128,000 images, was on-par with a panel of ophthalmologists" (T5=1: market evidence for sector prioritisation). The systems described diagnose the patients they examine, so the Theme 1 purpose test is not met. Confidence is Moderate because the unit is the truncated tail of an appendix.
